Seed: 3699217962
FFE found;Fitness
2477;-86544
3062;-73222
3747;-69238
4537;-68519
9020;-68114
10381;-67318
11841;-67031
18651;-67004
22442;-66965
30659;-66724
34996;-66306
39565;-66068
51695;-66065
71103;-65995
98483;-65911
154497;-65861
182303;-65692
322109;-65607
439242;-65532
711461;-65470
811885;-65444
1177170;-65443
1281534;-65377
1615234;-65358
1669484;-65349
1878632;-65347
2207960;-65329
2234600;-65320
9355410;-65314
10095486;-65270
14529529;-65245
22532650;-65238
23214013;-65212
29195842;-65192
36037151;-65177
40805360;-65171
48125288;-65151
89328826;-65124
98966593;-65114
104264018;-65107
154213024;-65100
156243375;-65087
