Seed: 3788982387
FFE found;Fitness
2482;-87309
3172;-74802
4053;-71704
6106;-69140
7379;-68736
8736;-68397
11661;-67817
13312;-67466
15062;-67024
31101;-66934
43004;-66403
90937;-66131
293382;-66036
351486;-66018
635279;-65817
658951;-65788
736342;-65730
974405;-65663
1891431;-65444
2549582;-65403
3375062;-65390
3925746;-65354
4275328;-65350
5011176;-65200
22695054;-65178
23236442;-65147
39910452;-65146
48803542;-65145
53274960;-65133
81183886;-65123
86368830;-65116
89342328;-65072
115304906;-65050
122152316;-65037
124742002;-64960
159751008;-64944
