Seed: 3693823384
FFE found;Fitness
2456;-83201
2655;-77165
2952;-71823
3345;-70940
3833;-70529
4423;-70107
5121;-69146
6043;-68606
7017;-67830
9265;-67728
14609;-67597
15968;-67314
18793;-66906
25254;-66792
30796;-66637
32937;-66629
39932;-66488
83360;-66235
111854;-66219
131911;-65945
145948;-65904
187402;-65820
250992;-65728
347578;-65676
638184;-65655
814208;-65449
1648202;-65374
5119040;-65370
5252246;-65321
6645992;-65291
7285332;-65281
7790151;-65263
8112210;-65219
8642528;-65216
8886451;-65172
10078692;-65159
14983531;-65122
72354389;-65045
