Seed: 4003417052
FFE found;Fitness
75;-84812
494;-74216
1089;-71529
1792;-69772
2585;-68973
3476;-68738
5545;-68068
7820;-67649
9105;-67641
10488;-67387
11964;-67380
15102;-67354
18240;-67348
19820;-67052
33021;-66822
35178;-66756
37347;-66656
49344;-66567
54452;-66529
67889;-66366
76229;-66340
82116;-66174
85154;-66042
91337;-66004
97616;-65999
117417;-65901
141070;-65898
144697;-65894
159718;-65864
191012;-65836
203667;-65797
207986;-65656
212397;-65527
288595;-65509
303576;-65445
333965;-65429
388351;-65423
416495;-65407
669675;-65368
706137;-65358
845908;-65266
1068161;-65265
1729220;-65242
1777735;-65150
3720409;-65141
3865976;-65126
4341882;-65104
6703536;-65095
