Seed: 709451160
FFE found;Fitness
60;-85887
328;-76541
1418;-75234
2106;-73252
4769;-72996
7334;-71474
13961;-71311
21446;-71075
25445;-71057
29806;-70465
34301;-70299
47153;-70124
116422;-69205
131976;-69174
200981;-69134
715956;-69115
922589;-69000
1095604;-68998
2140547;-68997
2174713;-68989
3492100;-68978
4707097;-68975
8643788;-68944
9144992;-68922
9221433;-68919
10309276;-68887
21163240;-68885
22225967;-68865
27098923;-68844
44264094;-68812
99975297;-68764
125613741;-68762
150401226;-68663
175617251;-68648
180335623;-68634
181471679;-68627
