Seed: 1744513119
FFE found;Fitness
90;-82886
604;-75976
1326;-74297
2313;-73753
3392;-72290
4565;-72191
5839;-71696
8678;-71680
10238;-71149
13549;-70907
15312;-70831
27890;-70609
46092;-70216
114363;-69942
203757;-69920
211907;-69893
354585;-69653
428138;-69398
1155827;-69342
1543172;-69276
1955626;-69170
2146632;-69090
2278476;-69051
3456574;-69035
3550029;-68932
3928763;-68911
3985454;-68906
4008343;-68872
4031637;-68866
4103170;-68720
4211639;-68707
4850930;-68670
5455193;-68614
6742501;-68613
7492578;-68608
7778171;-68600
11836294;-68575
19701919;-68559
34793237;-68542
41053426;-68541
67134296;-68512
70593643;-68502
176923811;-68477
