Seed: 2628295429
FFE found;Fitness
112;-82895
704;-74869
3275;-73390
5418;-73355
6583;-72785
9174;-72737
13949;-72015
19499;-71877
23486;-71639
25536;-71459
29816;-71155
34384;-71101
41586;-71019
46641;-70385
76599;-69910
120372;-69824
128522;-69438
301259;-69360
425785;-69354
580452;-69321
638543;-69158
792213;-69133
1007957;-69132
1023407;-69047
1567042;-68951
2491623;-68929
3474056;-68876
4593209;-68844
5836689;-68818
6466006;-68808
6492740;-68792
7003146;-68769
8391020;-68762
9391677;-68753
12161417;-68748
12565824;-68744
13054624;-68661
15884090;-68649
22549302;-68647
25160131;-68644
34282711;-68626
36314882;-68613
37861864;-68599
37992721;-68596
38806289;-68592
75190974;-68582
207554384;-68562
