Seed: 2917854871
FFE found;Fitness
222;-78416
1594;-72822
4519;-71706
6087;-71614
7746;-71308
9493;-70471
15060;-70451
52990;-70401
69892;-70364
75827;-70206
111103;-70064
121589;-69877
216936;-69842
238271;-69776
397662;-69681
425331;-69586
837236;-69497
981659;-69454
1153892;-69449
1161265;-69439
1492885;-69222
1572249;-69150
2623667;-69094
3068639;-69086
3636442;-69064
7403277;-69059
7456437;-69040
8444440;-69013
8809322;-68933
9481034;-68929
11237359;-68849
19498982;-68835
19841362;-68833
20660734;-68829
20938041;-68768
21555637;-68763
22483987;-68685
25628058;-68681
26700540;-68633
33534900;-68625
35811708;-68623
54151653;-68572
82023764;-68524
89932173;-68496
94331461;-68424
