Seed: 271698766
FFE found;Fitness
1;-94473
186;-80432
565;-74153
1150;-71174
1924;-69950
2886;-69714
5096;-69289
6457;-68634
9359;-68545
11002;-68392
12753;-67851
16650;-67372
28296;-66914
40047;-66135
61358;-66124
69047;-66080
101699;-65952
159480;-65810
186982;-65756
204625;-65718
210586;-65647
216639;-65637
533390;-65613
612149;-65607
628549;-65574
661776;-65494
784454;-65470
1078567;-65423
1301744;-65403
1448899;-65365
1459477;-65351
1523430;-65342
1566516;-65326
1642651;-65324
1742976;-65314
1766088;-65202
1931604;-65196
1955687;-65187
2016484;-65186
2028796;-65167
2267362;-65164
2318975;-65135
2370796;-65121
2580677;-65111
3611307;-65107
6283489;-65094
