Seed: 3114964220
FFE found;Fitness
45;-84521
291;-78496
884;-75477
1573;-74803
3356;-73433
4433;-73064
5598;-71321
31645;-70818
43115;-70747
50684;-70420
123159;-70405
129951;-70371
151548;-70370
163400;-70266
180203;-70214
463734;-69984
717832;-69869
766020;-69763
1477692;-69745
1724226;-69737
2119144;-69728
2380628;-69708
2411766;-69691
3298670;-69614
4168368;-69609
5105066;-69561
6094488;-69541
6503373;-69536
6711126;-69522
7028517;-69518
7241706;-69499
7303290;-69487
7397486;-69481
10346451;-69462
10485007;-69459
10537064;-69458
11536195;-69410
12266203;-69341
23277670;-69327
30383421;-69309
36322138;-69306
36948167;-69293
37724533;-69287
38457072;-69281
40648165;-69280
43593453;-69262
