Seed: 2232382023
FFE found;Fitness
110;-78099
603;-76358
1197;-73521
2820;-72600
3896;-72596
6604;-71897
11798;-71327
13756;-71033
17948;-70973
45236;-70675
131171;-70296
154464;-70280
187525;-70274
279991;-70189
367957;-70188
373060;-70103
416032;-70063
732626;-70042
833144;-69833
1288537;-69777
2884505;-69758
2946203;-69557
4094704;-69555
4146522;-69537
4264881;-69532
4712931;-69529
5753759;-69509
5824561;-69508
7559083;-69492
14307012;-69432
29197963;-69377
131858567;-69304
197283505;-69240
202233465;-69198
203603155;-69168
211888623;-69123
219446921;-69122
