Seed: 2194174561
FFE found;Fitness
106;-80012
894;-74618
4066;-73218
5449;-73017
7000;-72593
10133;-72506
15895;-72326
17933;-72199
19982;-71797
22117;-71400
52613;-71237
69077;-71020
74899;-70996
77810;-70705
184582;-70691
258662;-70637
287924;-70440
337911;-70413
358475;-70345
466540;-70322
471779;-70297
540985;-70267
657141;-70252
674027;-70216
696932;-70204
792625;-69952
1782382;-69937
1806513;-69886
2377365;-69844
2689998;-69374
3165525;-69329
3632094;-69304
4129948;-69292
4946579;-69287
5216707;-69243
5739923;-69226
8274835;-69210
9063442;-69179
11953620;-69177
12378446;-69170
19828867;-69163
23136653;-69099
211963144;-69077
