Seed: 3145502148
FFE found;Fitness
33;-83005
714;-75151
1509;-72645
2581;-69607
3750;-68883
5018;-68376
6380;-67805
7800;-67717
10913;-67705
12569;-67592
16071;-67181
17971;-67106
19967;-66622
28805;-66550
31141;-66417
40664;-66182
50810;-66010
71127;-65988
100643;-65972
111132;-65970
114728;-65891
220705;-65858
251812;-65837
288406;-65591
293016;-65566
320910;-65517
353717;-65492
519833;-65474
525266;-65469
603337;-65466
707255;-65457
921591;-65428
1117865;-65408
1167888;-65354
1557305;-65350
1641351;-65322
1677060;-65283
1742648;-65280
2164516;-65230
5362863;-65221
62745766;-65220
66158318;-65107
87084886;-65105
87284812;-65099
