Seed: 1683154188
FFE found;Fitness
2540;-77917
3047;-73061
3751;-70317
5633;-68319
6809;-67798
8079;-67280
14028;-67136
15683;-66577
41211;-66426
46552;-66156
75208;-65999
129883;-65903
140653;-65656
733939;-65646
753821;-65596
1755526;-65593
1763772;-65515
2189474;-65477
2442919;-65437
2786481;-65382
2890232;-65293
4715854;-65288
5743669;-65196
14704361;-65181
15471156;-65179
15883774;-65176
17331323;-65158
26150543;-65102
29789740;-65085
34945939;-65083
35950859;-65068
36781850;-65032
39822564;-65012
58475235;-65006
79073190;-65002
97314293;-64974
161116401;-64937
