Seed: 379717165
FFE found;Fitness
2646;-76260
3730;-70497
4905;-69512
6207;-68939
7779;-67191
13260;-66823
23471;-66805
32120;-66747
36912;-66600
50212;-66562
58589;-66362
64604;-66321
70620;-66212
114876;-66180
118679;-65913
142639;-65866
210502;-65852
321428;-65741
482881;-65687
494135;-65636
511016;-65532
772886;-65518
998905;-65448
1127741;-65411
1358849;-65392
1765046;-65285
2471518;-65237
3884170;-65235
4422083;-65211
4594438;-65210
4947267;-65196
5678670;-65164
5914894;-65153
5940747;-65129
6018840;-65125
6031878;-65112
6406730;-65100
6655605;-65092
7441631;-65087
7631810;-65074
8608342;-65036
9875215;-64997
11804670;-64977
17262439;-64957
23383538;-64949
28850936;-64947
34441356;-64923
