Seed: 43839743
FFE found;Fitness
2629;-75478
3900;-71004
5266;-69590
6753;-69268
8413;-68176
10170;-68095
12043;-67986
14102;-67914
16247;-67581
20711;-66790
37034;-66434
52892;-66403
78831;-66183
117562;-66116
128064;-65833
207477;-65808
228415;-65665
354754;-65513
556942;-65387
834703;-65363
1191881;-65287
1477205;-65268
1693199;-65226
2815395;-65212
4046620;-65205
4181891;-65173
5146378;-65142
7547944;-65090
19879028;-65066
29518596;-65064
39193449;-65036
75074812;-65008
88128366;-65004
106401759;-64973
192551942;-64898
195378292;-64885
197501442;-64882
