Seed: 103447561
FFE found;Fitness
68;-77940
499;-73021
1183;-71932
1976;-69915
2965;-68570
4138;-67319
8252;-67148
13132;-66734
16741;-66712
18689;-66425
52800;-66310
98374;-66250
137706;-66228
151985;-66156
178186;-66149
221359;-66027
233293;-66018
287665;-65942
309801;-65871
498069;-65819
507965;-65800
555067;-65759
712247;-65612
844067;-65582
1268718;-65508
1852917;-65452
1905411;-65442
2268205;-65392
2444457;-65375
2599679;-65296
2797097;-65288
3114546;-65182
9529279;-65181
14659438;-65162
16403387;-65152
21358259;-65120
49446750;-65116
59832569;-65055
103610051;-64967
216767603;-64908
