Seed: 2730468742
FFE found;Fitness
137;-82470
1134;-73623
2310;-70591
3616;-70272
5072;-69802
8121;-69235
21639;-69221
28565;-68883
36157;-68860
38777;-68769
44149;-68554
46963;-68525
61726;-68491
64831;-68339
67928;-68323
74255;-68213
116554;-68133
124311;-68121
136455;-68002
173834;-67976
178189;-67941
195892;-67864
236674;-67861
265933;-67834
291712;-67788
431716;-67770
475248;-67732
601973;-67703
734167;-67564
1189291;-67558
1285308;-67481
1626222;-67474
1779037;-67435
2107296;-67373
2434148;-67351
2757298;-67340
6757515;-67304
42319785;-67301
48902461;-67298
