Seed: 1054508927
FFE found;Fitness
146;-80963
933;-72561
1818;-71770
2797;-71552
3882;-70445
5076;-70159
6350;-69932
7718;-69806
9200;-69524
10856;-69333
12627;-68842
14591;-68605
25672;-68557
28106;-68456
30629;-68420
61359;-68244
70674;-68219
125040;-67866
132126;-67700
143009;-67659
190583;-67649
199127;-67592
257916;-67563
262838;-67529
323781;-67518
553221;-67511
639781;-67480
646168;-67465
712560;-67435
926986;-67394
1271173;-67379
1611047;-67348
1739838;-67333
1774978;-67324
1801538;-67321
1873858;-67299
2123084;-67262
2259899;-67260
4461862;-67237
15218974;-67104
15248993;-67103
18456398;-67071
44765648;-67044
