Seed: 3352933516
FFE found;Fitness
60;-77057
457;-71293
950;-70522
1537;-69184
3895;-67869
6158;-67833
10268;-67676
11845;-66626
13603;-65854
17415;-65735
21632;-65340
28438;-64968
43041;-64718
68191;-64604
77627;-64521
90937;-64399
124134;-64373
160032;-64005
2070618;-63976
2272447;-63936
4755410;-63849
7476248;-63839
45643878;-63836
45681322;-63819
53490088;-63818
53510148;-63808
53691330;-63772
62732152;-63683
80001384;-63682
114789500;-63645
116451748;-63636
128146769;-63633
160565261;-63618
211883479;-63600
