Seed: 155778151
FFE found;Fitness
2542;-78650
3038;-72300
3648;-70132
4460;-69152
5540;-68418
6718;-67209
9354;-67196
10819;-66255
21246;-66219
31596;-65844
38292;-65319
49875;-65288
82512;-65140
110010;-65006
116506;-64997
123236;-64928
126724;-64799
162448;-64776
169926;-64769
181278;-64691
386675;-64592
554038;-64564
794043;-64417
1226235;-64374
1422912;-64322
1587627;-64321
2081184;-64305
2338262;-64223
2510722;-64215
3255081;-64031
7051893;-64016
8176243;-64011
8748583;-63991
14303513;-63965
14721263;-63959
14873837;-63944
31468019;-63930
31769219;-63918
32953939;-63847
111959991;-63812
132757298;-63719
