Seed: 1351151034
FFE found;Fitness
2517;-80626
2857;-74512
3466;-71321
4283;-68378
9114;-66555
10574;-66321
19392;-65543
21526;-65362
23673;-65310
39989;-65229
125549;-65168
140111;-65106
181845;-65002
220665;-64908
245329;-64860
262017;-64716
409172;-64618
453680;-64411
623186;-64331
758296;-64264
866654;-64248
1018072;-64246
1127195;-64183
1210277;-64155
1449531;-64134
1497893;-64123
1711671;-64084
1782496;-64059
2578804;-64027
2648748;-64024
3593160;-63997
3950089;-63989
3961342;-63929
4391151;-63895
4558188;-63876
5544702;-63848
5726237;-63823
6076142;-63813
7691096;-63790
