Seed: 3950768256
FFE found;Fitness
100;-78319
648;-70638
1535;-68099
2535;-67424
3748;-66875
5204;-65225
23724;-65051
40042;-64995
45014;-64967
63856;-64882
66666;-64842
87727;-64753
176920;-64608
189175;-64533
395940;-64526
427950;-64523
513822;-64502
1005900;-64498
1106323;-64478
1147711;-64473
1154696;-64327
1298656;-64320
1321065;-64315
1396871;-64239
1826216;-64207
1891408;-64149
2162318;-64129
2449814;-64120
3110471;-64110
3203030;-64103
3329086;-64092
3506164;-64077
3731461;-64031
4697668;-64027
4814608;-64020
5536741;-64014
5675601;-64002
5873657;-64001
6046397;-63995
8688137;-63985
10795661;-63981
10910218;-63975
11027051;-63962
11435195;-63947
11589664;-63938
15323287;-63933
22832976;-63907
29229967;-63893
51649165;-63822
66158789;-63798
207090280;-63654
