Seed: 3321060428
FFE found;Fitness
70;-88034
491;-81004
1080;-78162
1765;-75303
2543;-74883
3422;-73131
4395;-72611
5494;-71948
6757;-71369
9563;-71344
11025;-70762
14285;-70503
16076;-70304
19766;-70225
27914;-70018
32081;-69717
38579;-69550
47748;-69475
52470;-69400
54945;-69196
113324;-69126
130957;-69022
173978;-69001
177518;-68922
229683;-68803
480047;-68783
611428;-68703
2334696;-68698
10617594;-68689
12397749;-68654
66820205;-68628
75982592;-68555
85935406;-68502
96891688;-68464
97478233;-68422
133825541;-68416
152111721;-68357
155661029;-68356
167282593;-68355
