Seed: 2944931648
FFE found;Fitness
20;-85914
444;-78844
1034;-75477
1754;-74491
2659;-72969
5585;-72214
6696;-71428
9233;-71353
12125;-71077
18529;-70881
29400;-70596
63702;-70552
73270;-70529
93438;-70294
96078;-69982
124230;-69828
133116;-69795
148391;-69701
283322;-69667
331337;-69641
377398;-69445
390731;-69381
507809;-69369
564167;-69332
663200;-69305
673280;-69137
981406;-69087
1051073;-69032
1269439;-69030
1320265;-69024
1333168;-68986
1346152;-68976
1378783;-68941
1417900;-68931
1643032;-68872
1699905;-68842
1801933;-68799
1816712;-68775
2073589;-68747
3315360;-68607
3671165;-68603
7568324;-68546
9036728;-68413
15362068;-68373
17186807;-68320
