Seed: 508856133
FFE found;Fitness
58;-85491
993;-76503
3092;-75096
4293;-73950
5535;-72842
8073;-72137
10912;-71969
12506;-71736
14120;-71015
26345;-70814
30395;-70623
34527;-70207
36638;-70184
52695;-70170
55182;-70033
62800;-69930
65392;-69801
143641;-69736
146900;-69674
160402;-69597
163921;-69583
201668;-69577
229506;-69487
266319;-69477
342912;-69407
382960;-69383
507030;-69370
605305;-69285
790671;-69281
980381;-69268
991862;-69262
1056336;-69192
1123444;-69167
1432261;-69150
1719947;-68981
2245558;-68926
2405856;-68866
2475282;-68844
2783533;-68774
3180312;-68770
3205270;-68765
3238577;-68764
3415839;-68745
3424356;-68703
3640323;-68702
4485631;-68688
4997401;-68612
5190553;-68502
6064475;-68482
6156362;-68478
6454950;-68472
6684635;-68451
7082973;-68440
8421525;-68435
8663916;-68413
8793165;-68388
9344532;-68369
19909311;-68321
