Seed: 3850832798
FFE found;Fitness
10;-85544
308;-76779
700;-73992
1192;-72758
1787;-69514
2574;-68769
4473;-68153
6811;-67956
10899;-67800
14212;-67698
16064;-67548
17959;-66604
23992;-66516
32935;-66376
78906;-66248
87348;-66032
136041;-65993
266341;-65940
285993;-65912
427120;-65863
431924;-65802
514928;-65707
556000;-65608
858045;-65574
1048721;-65573
1190051;-65569
2322426;-65537
2381614;-65507
2411692;-65493
2955666;-65459
4689718;-65456
5231128;-65407
5782226;-65370
7064750;-65327
9345422;-65325
9638812;-65303
9869376;-65284
10228456;-65272
10317658;-65196
10732565;-65150
11961628;-65137
17254835;-65134
18123258;-65130
26388864;-65075
72421453;-65071
72440951;-65056
79186202;-64994
90341576;-64955
110124881;-64940
209440601;-64886
