Seed: 3191182902
FFE found;Fitness
38;-78507
627;-71239
1312;-70569
2971;-69454
3953;-69022
7257;-67493
14172;-67134
23062;-67107
30541;-66488
43473;-66448
84450;-66351
141092;-66330
160220;-66230
164051;-66151
221031;-66050
277269;-65880
356172;-65720
460458;-65688
585318;-65685
603516;-65621
731152;-65608
791113;-65537
2552865;-65535
2928693;-65491
3184806;-65464
3224542;-65460
3887816;-65310
4811432;-65282
5361795;-65249
5458287;-65163
6416421;-65159
10312896;-65158
10800471;-65118
19969301;-65081
23271236;-65080
28120782;-65075
45077523;-65050
114676905;-65020
172827976;-64985
186743557;-64980
187651978;-64972
192590861;-64896
202883404;-64889
219746144;-64882
