Seed: 1926326115
FFE found;Fitness
42;-77757
725;-72320
1510;-70202
2337;-69561
3227;-68798
5473;-68475
10576;-68322
11936;-67873
14850;-67576
16357;-66975
26663;-66675
36288;-66558
38379;-66239
55249;-66207
99401;-66062
128971;-66022
142800;-65981
149786;-65961
178566;-65908
261736;-65792
351864;-65757
495416;-65726
524301;-65713
575398;-65675
666300;-65590
905280;-65579
1387749;-65546
1795284;-65516
2334643;-65461
3627323;-65315
4146949;-65279
4302567;-65259
5727348;-65244
7841086;-65114
12128911;-65099
13545048;-64989
16416801;-64977
17947080;-64968
18337483;-64941
18585936;-64939
18635844;-64925
60789908;-64864
