Seed: 1578273236
FFE found;Fitness
6644;-68269
16371;-66660
22352;-66497
33614;-66312
139386;-66168
150056;-65915
204015;-65708
851880;-65629
913317;-65561
1634178;-65558
1920273;-65499
2221405;-65467
2431210;-65430
2450758;-65422
3735550;-65377
4558833;-65356
5433958;-65341
5540302;-65259
9900437;-65227
10075882;-65216
11494842;-65192
13194280;-65154
13744186;-65118
14035207;-65110
19439720;-65098
24967136;-65090
25691393;-65080
35035890;-65076
37543858;-65046
46491602;-65032
51055076;-65026
51138267;-65019
51203762;-64979
72389220;-64978
75862971;-64968
82989413;-64966
86150046;-64962
86224444;-64955
