Seed: 4014046100
FFE found;Fitness
8637;-66575
34854;-66437
83068;-66129
100705;-66031
207242;-65890
217153;-65756
346698;-65600
1229359;-65546
2483249;-65545
2666705;-65480
4339961;-65479
4530292;-65478
5000412;-65421
5291544;-65392
6559240;-65306
9271666;-65302
13959666;-65273
14457157;-65257
16266848;-65223
16285277;-65159
28800455;-65144
34242272;-65120
38760583;-65056
78442328;-65048
80843199;-65041
100756690;-65037
116255263;-65035
117185539;-65020
136747439;-65015
147075958;-64998
167637445;-64984
194733436;-64983
