Seed: 4261014461
FFE found;Fitness
90;-81856
582;-76218
2336;-75219
3508;-74404
4776;-73347
6154;-73176
7624;-72637
16399;-72468
18345;-72245
31981;-72221
34407;-72215
39259;-72109
49074;-71940
51702;-71691
54428;-71300
94471;-70815
160833;-70719
179966;-70702
195490;-70591
211665;-70568
232990;-70396
409084;-70390
525606;-70380
577132;-70345
606961;-70264
674968;-70226
681274;-70217
2055261;-70193
3523950;-70192
7028423;-70133
10584067;-70106
11866911;-70086
13913440;-70056
18780575;-70026
36286353;-69986
41045201;-69927
48936836;-69924
53290371;-69895
60981213;-69788
68018805;-69774
75383594;-69764
83622269;-69763
87266153;-69762
138760425;-69750
161638179;-69720
