Seed: 1047163703
FFE found;Fitness
197;-80512
1273;-75567
2472;-74633
3839;-73504
8546;-73430
10408;-71775
22722;-71617
25061;-71468
27490;-71041
56633;-71024
65225;-70996
71229;-70992
110763;-70903
140188;-70829
147955;-70667
197198;-70510
335362;-70407
475264;-70262
816030;-70214
1308378;-70192
1790422;-70185
2601855;-70178
3211088;-70104
3280353;-70093
4161852;-70075
4606454;-70036
7558016;-69994
8378350;-69976
11861151;-69974
12000544;-69963
12233306;-69954
12950039;-69950
13498448;-69933
14227766;-69911
15328824;-69907
15665902;-69906
16257972;-69862
16828393;-69855
17566235;-69848
18176375;-69843
21928009;-69839
26101795;-69745
53945779;-69734
179439281;-69733
