Seed: 985742176
FFE found;Fitness
186;-84072
976;-77593
1858;-76355
2836;-74308
3914;-73808
9150;-73060
10810;-72852
12557;-71270
43095;-71122
45521;-71050
58154;-71038
79647;-71022
82461;-70956
99555;-70861
108393;-70814
156444;-70663
241410;-70425
340973;-70403
355606;-70399
604368;-70306
720493;-70232
1045369;-70225
1426272;-70197
2161393;-70177
2170213;-70164
2187859;-70125
2276117;-70123
2382727;-70121
2558496;-70116
2596226;-70115
2720496;-70068
3108756;-69904
6993036;-69872
10348248;-69839
10583645;-69831
10834410;-69825
13516371;-69820
14809631;-69787
32003786;-69780
53286138;-69767
57749443;-69756
76653381;-69755
76882989;-69749
121646241;-69662
