Seed: 2618977021
FFE found;Fitness
11071;-70770
16513;-70537
39502;-70258
117495;-70129
147176;-70000
179417;-69575
402795;-69502
839220;-69443
982692;-69335
1588675;-69227
2124204;-69208
2415469;-69122
3332529;-69119
3515094;-69059
4030871;-68969
6750031;-68909
13270282;-68888
13672744;-68879
15605259;-68820
15962323;-68818
16210859;-68762
16246943;-68733
17631758;-68725
19307993;-68708
19436718;-68693
19709335;-68669
23615324;-68664
24190123;-68653
37726036;-68647
45214358;-68641
57193225;-68591
89683049;-68565
114577553;-68548
115925144;-68535
117755439;-68471
118392783;-68450
129636041;-68440
