Seed: 2935587308
FFE found;Fitness
6823;-71480
15444;-71091
29568;-70170
46089;-69962
391420;-69903
463586;-69728
480799;-69377
560178;-69331
704210;-69260
785079;-69108
857966;-69013
1071014;-68907
1608341;-68904
1721672;-68855
1756493;-68845
1864287;-68831
1876917;-68824
2110360;-68768
2447145;-68761
2898629;-68753
2971006;-68750
3461167;-68739
3802756;-68712
4353963;-68690
4561772;-68680
6155372;-68661
9064989;-68605
9543486;-68604
19464984;-68588
37899746;-68587
38397007;-68569
40487324;-68568
43572500;-68566
114552322;-68516
204346254;-68507
