Seed: 371710284
FFE found;Fitness
6267;-70557
22886;-69960
44308;-69718
290783;-69460
538990;-69384
594498;-69349
612939;-69298
875745;-69259
946710;-69253
1089318;-69212
1119698;-69178
1346211;-69155
2146422;-69127
2493156;-69110
3258671;-69084
3292133;-69012
3404414;-69006
4809762;-68911
6114762;-68899
11042989;-68782
17092809;-68722
22417104;-68599
27954296;-68598
29389770;-68583
30296090;-68577
33081412;-68566
37747239;-68557
52830843;-68437
58378882;-68418
63142811;-68397
65505696;-68389
69305066;-68369
71528857;-68337
73699478;-68336
