Seed: 2874856514
FFE found;Fitness
122;-84517
613;-75232
1252;-71161
2084;-68630
3154;-68367
6776;-68336
8141;-67576
9645;-67312
11296;-67054
13042;-67038
16761;-67000
18698;-66902
20708;-66690
25078;-66618
29446;-66547
36357;-66516
38883;-66515
49359;-66435
60284;-66381
65890;-66327
68750;-66202
77586;-66153
105138;-66138
142534;-66039
164805;-66008
172398;-65998
196453;-65974
208712;-65934
246476;-65930
326169;-65926
390753;-65874
544958;-65824
600330;-65807
625549;-65746
701393;-65714
753646;-65692
769945;-65650
819480;-65649
836177;-65615
886910;-65545
939768;-65544
1037893;-65534
1075144;-65530
1100206;-65473
1477955;-65409
1901240;-65353
1973197;-65347
2113484;-65343
2587778;-65293
2992399;-65289
3772654;-65274
4117828;-65247
4518607;-65192
4898450;-65185
5094336;-65168
10488312;-65159
11505561;-65152
14624978;-65124
15008691;-65107
34778597;-65095
36194385;-65085
83672195;-65078
111039801;-65039
155239298;-65037
173571890;-65005
212810569;-64984
