Seed: 155758001
FFE found;Fitness
49;-83049
250;-73560
548;-73465
940;-72404
1459;-69994
2082;-69373
2976;-69336
4046;-69095
5172;-68644
7713;-67713
9120;-67555
10578;-67278
15542;-67262
19221;-67109
25080;-67006
31444;-66969
33713;-65828
53972;-65791
66191;-65727
82254;-65704
95842;-65694
117506;-65665
148367;-65663
185025;-65640
189100;-65581
197250;-65539
304195;-65527
396249;-65491
860557;-65422
894583;-65419
1635051;-65313
4001448;-65310
5548271;-65269
8796378;-65266
9540460;-65194
20884187;-65099
74102486;-65094
100301061;-64983
