Seed: 2806401368
FFE found;Fitness
229;-75509
928;-72399
1807;-71706
2811;-69994
4021;-69409
6745;-68436
8160;-68262
9717;-68114
14765;-68024
18407;-67849
22756;-67354
25182;-67049
27658;-66956
32702;-66689
46648;-66548
52569;-66100
67958;-66076
97727;-66043
108607;-65995
131695;-65961
135575;-65955
159051;-65932
167101;-65878
187824;-65774
223192;-65768
343460;-65712
423808;-65702
449895;-65700
465660;-65697
470948;-65673
525389;-65637
725023;-65633
731034;-65626
755442;-65625
798791;-65531
1467461;-65448
2279155;-65446
2404627;-65320
3223011;-65317
4295050;-65308
4424127;-65266
5360144;-65246
5706206;-65226
5965132;-65211
7265446;-65178
8047829;-65129
