Seed: 668007245
FFE found;Fitness
121;-80704
610;-73527
1195;-72171
1978;-71353
3053;-69691
4224;-69231
6840;-68443
8398;-68362
10041;-68211
11694;-68140
13492;-67994
15485;-67623
17575;-67467
19670;-67062
21845;-66879
30994;-66450
36045;-66362
41576;-66351
53213;-66339
56124;-66328
70781;-66252
79858;-66207
82914;-66072
108149;-65785
142233;-65651
168433;-65537
188704;-65536
231661;-65534
249303;-65532
280518;-65519
308595;-65518
327645;-65515
377001;-65509
408062;-65359
511261;-65354
522597;-65303
539705;-65265
551235;-65243
580575;-65213
673254;-65200
981020;-65178
1196775;-65172
1425409;-65162
4124051;-65159
4141333;-65147
4478765;-65122
8659574;-65119
8950938;-65114
10237707;-65056
16021746;-65048
160817419;-65045
192190768;-65038
