Seed: 2033499163
FFE found;Fitness
104;-86162
588;-75431
1371;-70314
2246;-68652
4340;-68504
5603;-68263
6960;-68190
13074;-67360
14634;-67233
17942;-66937
25126;-66924
33663;-66899
40601;-66504
50608;-66471
55995;-66297
106090;-66157
109341;-66144
112642;-65948
136564;-65944
184605;-65825
188442;-65770
220589;-65743
237421;-65736
259454;-65729
272990;-65701
295785;-65680
378639;-65581
383394;-65576
454850;-65573
465565;-65562
487267;-65547
515194;-65531
560515;-65469
829746;-65462
972444;-65451
2314429;-65416
3759047;-65376
5537027;-65372
6114172;-65363
6447466;-65320
6742536;-65276
7035939;-65273
11333379;-65232
16012420;-65219
17256238;-65216
25973466;-65204
26773263;-65184
27332511;-65145
50340901;-65142
70878554;-65138
142657045;-65125
168578387;-65117
