Seed: 3248932327
FFE found;Fitness
73;-83268
463;-75592
1193;-72458
2022;-71238
2996;-70267
4073;-69350
5243;-68968
6520;-68349
7832;-67132
12298;-66955
17352;-66682
19284;-66572
21312;-66510
25441;-66490
29759;-66212
43491;-66075
72510;-65997
75033;-65961
80178;-65864
93801;-65764
108472;-65649
111577;-65645
141334;-65628
162779;-65626
209137;-65517
245203;-65505
261663;-65501
291359;-65497
339052;-65490
352543;-65483
357054;-65415
361612;-65374
417948;-65352
447476;-65312
3604281;-65306
3768271;-65258
5153486;-65214
10132236;-65199
14477562;-65178
15660890;-65148
17000916;-65144
17021518;-65126
17616334;-65110
18484927;-65069
20765924;-65067
22107281;-65044
22295816;-65043
24754986;-65028
30740347;-65008
33911737;-65004
38871489;-64985
55133979;-64980
