Seed: 3395874352
FFE found;Fitness
1;0
121;0.0625
300;0.08125
4669;0.1125
5774;0.125
6576;0.1875
12479;0.21875
51828;0.3125
63306;0.321875
132163;0.34375
263513;0.375
316596;0.415625
387410;0.546875
475663;0.634375
541864;0.65625
640691;0.665625
779132;0.6875
818141;0.759375
841654;0.790625
1003548;0.8125
2287715;1
