Seed: 1239883991
FFE found;Fitness
227;-79697
1103;-76518
2079;-74426
3152;-72622
4274;-72172
5586;-71656
7047;-71226
8615;-70723
12064;-70526
14028;-70516
18121;-70407
24930;-70300
34874;-70063
51829;-70001
63680;-69911
66851;-69884
97279;-69877
125477;-69875
129111;-69835
132801;-69814
159448;-69787
163329;-69760
187050;-69730
195539;-69709
204141;-69707
248449;-69692
276391;-69484
332717;-69365
391032;-69352
405973;-69351
515747;-69350
587108;-69349
642408;-69311
731622;-69285
754130;-69277
776638;-69197
1130840;-69166
2328407;-69161
2476676;-69156
2655866;-69133
3347917;-69064
6010138;-69047
7606374;-68993
10182403;-68957
10508866;-68948
10573255;-68862
11258329;-68853
11483873;-68849
12021221;-68836
12137481;-68830
19485652;-68824
22023158;-68800
54565439;-68789
70455814;-68788
82474397;-68776
99062236;-68774
104655279;-68762
