Seed: 788854909
FFE found;Fitness
84;-85874
677;-74043
1364;-73843
2154;-72943
3056;-72184
5313;-71114
9305;-70814
15166;-70663
20134;-70657
21978;-70273
49816;-70078
75293;-70015
78306;-69602
159888;-69392
266245;-69308
270892;-69220
299775;-69155
377204;-69121
466469;-68927
861805;-68926
897781;-68905
1003199;-68860
1542564;-68821
1642379;-68793
1744876;-68701
3126305;-68681
3670789;-68548
3878033;-68506
4058810;-68498
4470273;-68457
5029080;-68449
11351271;-68442
14678753;-68440
18768143;-68362
28989252;-68358
29045436;-68299
54632840;-68296
62987654;-68273
107571150;-68231
167869989;-68214
