Seed: 3814527129
FFE found;Fitness
20;-86439
394;-77779
946;-71299
1651;-70237
2464;-68827
3328;-68765
4207;-68597
5177;-68412
6215;-67871
7355;-67816
11149;-67525
14994;-67509
16317;-67423
17716;-67150
20914;-66922
33775;-66720
46156;-66455
59328;-66438
73640;-66339
96551;-66329
110146;-66105
282823;-65858
613134;-65757
1821779;-65724
1841855;-65611
2079408;-65499
2838011;-65442
3571252;-65363
4132228;-65339
5029170;-65305
5631190;-65294
6891705;-65237
8405845;-65160
14261741;-65154
20293093;-65149
25916066;-65106
42895929;-65074
45752051;-65071
45770079;-65056
47833221;-65054
48059055;-65026
141321380;-65021
174294780;-64992
