Seed: 264770684
FFE found;Fitness
5;-83884
141;-76706
646;-73421
1311;-71046
2054;-70883
2878;-69062
5727;-68614
6842;-67778
9186;-67698
15565;-67386
19975;-66824
40296;-66622
57535;-66591
96566;-66560
103829;-66490
118911;-66309
166185;-66295
169145;-66023
408626;-66005
542669;-65855
590411;-65757
996048;-65704
1001473;-65658
1254725;-65641
1419002;-65495
2346157;-65493
3338314;-65476
3831390;-65404
4128854;-65393
4617267;-65377
5580827;-65346
6504971;-65284
9451604;-65280
10680114;-65243
12031775;-65238
12242955;-65208
17538438;-65160
25986833;-65123
27811717;-65079
35003721;-65045
41855077;-65029
134087261;-65026
