Seed: 4176782226
FFE found;Fitness
26;-84299
421;-72627
950;-72041
1549;-71884
2299;-70465
3208;-69784
4182;-69481
6364;-68754
8859;-68733
10198;-68501
12950;-67999
14470;-67672
16034;-67605
19281;-67480
24697;-67382
28472;-67237
36565;-66641
82725;-66616
104293;-66442
113882;-66411
120365;-66337
140798;-66164
179557;-66125
183283;-66095
239174;-66007
278339;-65991
384562;-65944
414145;-65925
490167;-65831
541850;-65797
616341;-65732
766231;-65614
1208037;-65578
1214554;-65577
1662875;-65566
1750027;-65481
2297194;-65420
3279246;-65419
3382069;-65376
3816014;-65346
4090773;-65338
9931604;-65325
11637635;-65155
11937338;-65142
45902097;-65112
55349284;-65092
59325723;-65089
131312988;-65079
156412932;-65067
192517375;-65045
216416538;-64987
