Seed: 2242803246
FFE found;Fitness
22;-84064
490;-72749
1105;-71916
1874;-71845
2671;-70984
3580;-69978
4583;-69391
5667;-69264
9361;-69142
12118;-68644
15003;-68297
18080;-68251
26385;-67498
30070;-66888
48994;-66876
55955;-66847
60841;-66820
63286;-66783
81482;-66743
84223;-66675
95301;-66483
118668;-66381
154167;-66343
168160;-66225
197368;-66139
212352;-66002
300955;-65983
305571;-65976
310264;-65738
413723;-65713
635715;-65689
679467;-65537
842211;-65521
1053728;-65505
1078282;-65439
1319405;-65417
1580281;-65410
1648311;-65402
2942341;-65395
3104961;-65380
3197041;-65322
4150524;-65296
4280694;-65275
4311015;-65269
4442644;-65246
5779531;-65224
6443210;-65222
7989912;-65209
9115923;-65172
9485140;-65164
9843640;-65163
16106120;-65154
20233126;-65133
28874950;-65127
43350497;-65118
48638065;-65102
75836005;-65040
82608289;-65007
83963324;-65002
86850106;-64965
