Seed: 4245377405
FFE found;Fitness
145;-78161
634;-72170
1227;-71326
1912;-70419
2731;-70159
3710;-68638
4732;-68294
5902;-67705
7119;-67643
8522;-67440
11533;-67298
14685;-67259
16349;-67114
18144;-66963
19992;-66575
21986;-66431
30816;-66429
41243;-66419
44057;-66288
64591;-66274
73725;-66262
83126;-65826
92722;-65752
116378;-65694
123516;-65671
134827;-65650
182581;-65647
203001;-65639
271998;-65627
289952;-65619
312806;-65529
403498;-65500
498375;-65493
550153;-65459
876022;-65449
1207342;-65437
1284749;-65436
1409789;-65435
1443790;-65356
1553761;-65345
2414605;-65282
3069459;-65236
5550628;-65230
14974253;-65205
15505055;-65193
20247114;-65177
21643834;-65161
24128009;-65151
25520676;-65150
28355483;-65135
30804945;-65129
31555170;-65123
37149563;-65117
37546225;-65112
40442978;-65092
40880422;-65067
40923202;-65066
41353822;-65036
42372440;-65030
45004921;-65024
107804722;-65019
134680012;-65010
142748966;-64980
159320836;-64970
