Seed: 111743049
FFE found;Fitness
164;-82213
653;-73268
1279;-69084
2067;-68926
3041;-68812
4060;-67314
9687;-67078
13928;-66876
15481;-66552
30120;-66392
35711;-65944
48199;-65749
55388;-65718
76970;-65690
79784;-65662
99789;-65653
112508;-65652
196487;-65645
234255;-65641
306090;-65607
322627;-65596
445138;-65584
480842;-65551
623761;-65471
1274030;-65422
1822715;-65419
1867741;-65391
2033753;-65372
2054417;-65323
2131449;-65322
2218607;-65319
2233357;-65304
2591198;-65303
2717025;-65283
2957803;-65235
3121271;-65220
3703123;-65201
15448310;-65199
18762206;-65195
35314217;-65193
41246170;-65171
42892970;-65153
97945288;-65098
