Seed: 3719465133
FFE found;Fitness
192;-78562
874;-70968
1658;-70793
2534;-70419
3554;-69859
4723;-69313
7375;-69015
8928;-68165
12258;-67821
14102;-67752
19778;-67751
23863;-67634
26097;-67004
28426;-66976
30803;-66974
38583;-66555
82673;-66339
85925;-66291
106350;-66194
113483;-66124
120774;-66106
132126;-66097
135915;-66051
139817;-66032
155729;-66011
180112;-65748
188397;-65670
209296;-65628
247868;-65598
256701;-65531
298688;-65519
396053;-65460
723923;-65429
825871;-65393
1001359;-65387
1019210;-65367
1221179;-65335
1233622;-65323
2923467;-65317
2937825;-65310
3851466;-65304
4551359;-65280
4726481;-65274
17043733;-65247
27212057;-65243
27280986;-65229
31040437;-65212
35523687;-65204
35925418;-65187
36389382;-65176
39328366;-65164
39520165;-65161
42794674;-65149
42807382;-65148
43646282;-65130
44440675;-65093
45822105;-65088
53624273;-65067
61007574;-65054
65133854;-65040
70123078;-65033
70524164;-65026
74834350;-65011
126878932;-65009
162806798;-65000
