Seed: 875216543
FFE found;Fitness
205;-77686
793;-71754
1473;-70745
2309;-69370
3381;-68479
4552;-68169
7032;-67899
11478;-67654
16629;-67208
18473;-67168
24116;-67002
28153;-66938
34710;-66929
36947;-66877
41556;-66816
48838;-66794
51313;-66366
61477;-66322
78078;-66108
99281;-66050
145190;-65948
152138;-65938
159318;-65916
170282;-65889
209167;-65888
259089;-65849
357828;-65829
375346;-65797
574286;-65724
681634;-65634
813976;-65603
876178;-65593
950945;-65546
979961;-65506
1015471;-65492
1094016;-65482
1100128;-65443
1199271;-65434
1303793;-65429
1461559;-65419
1617761;-65410
2056917;-65259
2132935;-65238
2446311;-65205
2503428;-65188
2545096;-65179
3472855;-65138
123201602;-65103
123586834;-65067
211479894;-65059
