Seed: 3298105562
FFE found;Fitness
2;-87588
152;-81833
451;-77166
895;-72057
1597;-69651
2425;-68207
3400;-68060
6750;-67850
7920;-67755
9203;-67672
10711;-67561
12365;-67282
15867;-66241
17669;-66182
19610;-66169
21562;-66128
23611;-66008
32613;-65968
35136;-65953
37659;-65947
40182;-65920
56154;-65877
83001;-65868
114184;-65827
174525;-65744
206828;-65737
230516;-65701
238569;-65688
270925;-65682
304453;-65669
343360;-65665
347718;-65620
530411;-65608
856863;-65604
886453;-65590
1026363;-65565
1107754;-65547
1312832;-65497
1937787;-65473
2013949;-65430
2368254;-65422
2565171;-65408
2623800;-65349
2724976;-65345
3139243;-65303
3871452;-65299
5233866;-65233
5608859;-65175
24026568;-65149
43865192;-65133
56117974;-65096
56596704;-65084
169265357;-65061
190997857;-65031
211958248;-64996
