Seed: 1586271694
FFE found;Fitness
78;-78849
388;-72996
822;-72251
1485;-70510
2362;-69806
3376;-68884
4499;-68131
5768;-67960
7127;-67132
8487;-67102
13505;-66889
17447;-65912
21682;-65909
24012;-65874
28767;-65679
57307;-65656
63044;-65604
72033;-65588
87617;-65536
90817;-65504
263824;-65503
296701;-65502
325736;-65495
376335;-65494
384873;-65470
647788;-65401
980981;-65382
1002135;-65381
1753486;-65360
2254839;-65355
3324737;-65309
9910981;-65308
11786149;-65289
16463034;-65258
22130741;-65244
59362294;-65240
62085019;-65238
70061236;-65220
143223494;-65217
150101972;-65215
157450955;-65191
158076704;-65174
161895235;-65173
163685333;-65165
