Seed: 2876753225
FFE found;Fitness
208;-75468
1517;-69368
3007;-68497
4689;-67391
6561;-66871
8627;-66584
17793;-66527
31516;-66239
56105;-66102
79590;-66043
159838;-65986
172657;-65697
276493;-65645
538239;-65550
728959;-65390
1167103;-65317
1266070;-65216
2112519;-65128
4129636;-65022
7326445;-64964
13101642;-64958
13224806;-64934
14347269;-64920
14890010;-64914
15281501;-64878
17611555;-64872
18842249;-64860
21372542;-64856
23340815;-64844
27687661;-64840
27981685;-64832
44445704;-64824
50634703;-64822
50836704;-64809
58430190;-64730
84171140;-64712
109286945;-64701
124952372;-64690
132910010;-64635
172405499;-64621
190507133;-64609
