Seed: 3862514877
FFE found;Fitness
139;-77489
641;-71906
1354;-71098
2257;-69154
3338;-69032
4513;-68181
5786;-67825
7166;-67221
24621;-66892
26860;-66228
58366;-66002
91133;-65828
160509;-65818
164487;-65626
188648;-65581
263094;-65512
272695;-65461
413987;-65358
419331;-65317
485602;-65314
855012;-65303
1190737;-65252
1219265;-65248
1247981;-65220
1470538;-65217
1822894;-65174
1913698;-65105
4032897;-65073
4094108;-64765
12159201;-64732
27931028;-64730
29771223;-64723
73873153;-64699
74914392;-64691
85134766;-64683
217009625;-64654
