Seed: 387180148
FFE found;Fitness
186;-73845
1448;-71456
2710;-70005
5351;-69438
6815;-69426
10030;-68516
17633;-68513
22020;-68504
26690;-68283
29123;-67732
56549;-67674
65282;-67557
68193;-67540
109272;-67445
119373;-67436
139962;-67106
230724;-67010
556613;-66900
768919;-66805
882843;-66788
959679;-66770
1817840;-66769
2032816;-66733
2585992;-66696
2638472;-66671
2682902;-66667
2746002;-66662
2783004;-66651
2849317;-66647
2973114;-66644
3207302;-66604
3458790;-66597
4160631;-66582
5196355;-66552
5701089;-66551
6328804;-66544
7168809;-66543
7244652;-66539
8656747;-66526
9072437;-66504
9905869;-66493
10326673;-66474
10488399;-66454
11306930;-66433
32692445;-66275
