Seed: 4283211764
FFE found;Fitness
192;-75282
880;-71432
1668;-70790
2548;-70143
3539;-69950
4615;-69883
5819;-69621
8740;-69411
10312;-68726
13724;-68572
17518;-68384
19457;-68224
23465;-68119
39107;-68090
51347;-67775
89872;-67765
111647;-67393
323755;-67382
465030;-67298
485721;-67224
749330;-67219
935822;-67174
1211927;-67140
1299277;-67127
1382950;-67116
1413606;-67062
1428934;-67055
1543894;-67034
1970438;-67006
2318193;-66974
2845734;-66949
3146348;-66885
3243290;-66797
12277372;-66796
13563186;-66758
22858184;-66716
24250361;-66696
28399810;-66655
31046796;-66638
32607734;-66637
34057842;-66544
135459300;-66531
142497810;-66507
