Seed: 2221969733
FFE found;Fitness
201;-74683
1469;-70634
2837;-69081
4304;-68721
9082;-68280
16390;-68183
41624;-67984
49482;-67850
63211;-67560
82339;-67483
88945;-67474
102769;-67372
198524;-67359
258418;-67314
384931;-67259
416942;-67191
513093;-67190
711676;-67092
1286942;-67091
1377112;-67085
1447535;-67060
1803190;-66981
2494541;-66889
4553034;-66849
6964116;-66843
10801650;-66832
12790346;-66802
14433768;-66795
18758430;-66789
21722961;-66785
27683618;-66781
34786578;-66662
44617234;-66615
56396263;-66609
59567651;-66578
64078567;-66546
72834035;-66495
77296945;-66490
164008663;-66451
