Seed: 3455522037
FFE found;Fitness
169;-82439
657;-77363
1247;-74078
1930;-72914
2720;-72176
3646;-72028
4817;-71690
6085;-71183
11643;-70985
13146;-70675
21655;-69837
25508;-69773
45614;-69664
56010;-69642
70094;-69618
73049;-69586
76057;-69475
100766;-69471
124295;-69376
134630;-69192
167288;-69166
257901;-69139
393236;-69093
415551;-69063
542531;-69056
610743;-69026
993350;-69002
1075049;-68995
1228129;-68944
1424148;-68939
1534204;-68920
1604864;-68895
1630962;-68860
1691993;-68851
3518922;-68827
6259896;-68778
8739225;-68776
43739508;-68770
44364052;-68705
50695636;-68688
60214548;-68621
65548136;-68599
68751770;-68579
68884292;-68563
68940326;-68504
69348399;-68469
69707864;-68466
88410981;-68446
106909503;-68437
109580142;-68392
143224091;-68349
