Seed: 828783401
FFE found;Fitness
56;-83902
353;-73977
804;-72195
1493;-70879
3147;-68058
5303;-67951
6565;-66578
12154;-66160
15410;-66126
18956;-66086
20802;-65813
26845;-65806
29035;-65565
35834;-65489
40603;-65359
43126;-65318
45682;-64679
72861;-64655
87953;-64654
97232;-64615
142292;-64566
153707;-64563
161663;-64517
165641;-64458
177630;-64431
189694;-64410
265292;-64373
332401;-64372
360297;-64339
965261;-64331
1002618;-64320
1056639;-64309
1107077;-64299
1250961;-64273
2375520;-64243
2959306;-64102
4695101;-64101
5934417;-64029
5951321;-64006
6699802;-63982
7364420;-63946
20768738;-63941
32994294;-63897
33890219;-63875
34491577;-63869
48465829;-63852
76788467;-63756
78062843;-63755
216903777;-63752
