Seed: 660139231
FFE found;Fitness
94;-77042
426;-73048
916;-70827
1545;-69450
2424;-69230
3398;-68476
4469;-68437
5680;-67893
7043;-67845
10009;-67339
11562;-67270
14773;-67232
16442;-66533
21713;-66383
25900;-66218
28135;-65908
30469;-65871
32845;-65775
37609;-65567
65668;-65496
71976;-65112
78681;-64971
99454;-64912
117647;-64852
121340;-64828
140714;-64800
161470;-64720
182920;-64713
200582;-64673
250894;-64598
284847;-64553
310572;-64525
315859;-64399
430325;-64397
448370;-64383
466415;-64342
578392;-64321
584795;-64231
623850;-64228
740975;-64186
869647;-64150
1170134;-64113
1390646;-64086
1471762;-64047
1652451;-64004
2130233;-63977
2157157;-63915
2357119;-63914
2403928;-63909
2413386;-63865
2480115;-63832
3342252;-63829
3732737;-63819
3818881;-63775
17381149;-63718
24531582;-63700
71507827;-63691
86284882;-63670
